	SRR24057457.variants.tsv
summarized	[('Omicron', 0.9991302348769289)]
lineages	BQ.1.24 BA.2.76 CW.1 XAS BQ.1.1.14 BQ.1.1 BQ.1.1.69 BQ.1.31 BQ.1.1.42 BQ.1.1.26 BQ.1.2 BQ.1.11 BQ.1.1.58 BQ.1.1.25 BQ.1.1.54 BA.2.16 BQ.1.1.15 BQ.1.17 BA.2.74 BQ.1.1.10 BA.4.1.8 BN.1.2.2 BQ.1.32
abundances	0.35828081 0.27198195 0.25382996 0.03431705 0.02632487 0.02632487 0.02393200 0.00084152 0.00062189 0.00044833 0.00034984 0.00024477 0.00020973 0.00019004 0.00017841 0.00015499 0.00014892 0.00014071 0.00013135 0.00013128 0.00012471 0.00011393 0.00010830
resid	14.534279741543932
coverage	88.11490485904424
