	SRR23043689.variants.tsv
summarized	[('Omicron', 0.999999997725975)]
lineages	BG.1 BA.2.19 XAJ BA.2.25 BA.2.56 BA.2.23 BA.2.72 BA.2.62 BA.2.33 BA.2.68 BA.2.73 BA.2.12 BA.2.38 BA.2.18 BA.2.16 BA.2.52 BA.2.51 BA.2.7 BA.2.9 BA.2.43 BA.2.45 BA.2.9.2 BA.2.35 BA.2.12.1 BA.2 BA.2.65 BA.2.77 BA.2.3.5 BA.2.3.1 BA.2.3.21 BA.2.3.7
abundances	0.12500000 0.07843140 0.03276809 0.03276809 0.03276809 0.03276809 0.03276809 0.03276809 0.03276809 0.03276809 0.03276809 0.03276809 0.03276809 0.03276809 0.03276809 0.03276809 0.03276809 0.03276809 0.03276809 0.03276809 0.03276809 0.03276809 0.03276809 0.03276809 0.03276809 0.01470590 0.00819672 0.00500000 0.00500000 0.00500000 0.00500000
resid	0.4271004318526377
coverage	32.60542420492927
