	SRR25813305.variants.tsv
summarized	[('Omicron', 0.3333329999933473), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.24999999999849254), ('XBB.2.3* [Omicron (XBB.2.3.X)]', 0.21739100000166578), ('XBB* (XBB.X)', 0.1124623999979443), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.07142859999957203), ('Other', 0.015385000022193514)]
lineages	JD.1.2 XBB.2.3.9 BE.9 BA.5.1.18 XBB.1.45.1 CH.1.1.22 AD.2.1
abundances	0.25000000 0.21739100 0.19047600 0.14285700 0.11246240 0.07142860 0.01538500
resid	77.49391468846939
coverage	7.497575494097582
