	SRR25365235.variants.tsv
summarized	[('Omicron', 0.9992393899755135), ('Other', 0.00013201336054267574)]
lineages	BG.5 BA.5.1.19 BA.2.4 BA.4.8 BE.1 BA.5 BA.2.52 BA.5.1 BG.1 BA.5.1.1 BA.5.1.22 BA.2.35 BA.4.1.4 BA.5.1.11 BA.2.10 BA.2.82 BA.2.49 BA.4.1.8 BA.2.70 BG.2 BA.2.22 BA.2.28 BA.2.59 BA.5.1.10 XAS BA.2.45 BA.2.13.1 BQ.1.30 BA.2.34 B.1.377 BA.5.1.12
abundances	0.26785389 0.24481428 0.16967410 0.15091184 0.06712485 0.04709357 0.02911419 0.01479412 0.00161290 0.00075472 0.00055218 0.00043722 0.00040371 0.00039124 0.00037994 0.00035651 0.00033801 0.00028557 0.00024931 0.00023566 0.00023261 0.00022994 0.00022738 0.00021594 0.00018293 0.00017773 0.00016889 0.00016649 0.00015917 0.00013201 0.00010051
resid	6.93898486967853
coverage	89.22516135504799
