	SRR25005782.variants.tsv
summarized	[('Omicron', 0.9929102869770577)]
lineages	BA.5.1.27 BQ.1.1.13 BQ.1.14 BF.30 BA.5.5 BA.5.3.1 BA.5.1.20 BQ.1.23 BA.5.3.2 BQ.1.13 EF.1.2 BQ.1.1.76 BA.5.1.7 BQ.1.1.23 BQ.1.1.32 BA.5.1.2 CQ.1 BQ.1.1.35 BA.5.9 BQ.1.9 BK.1 EF.2 BQ.1.1.69 BF.2 FM.2 BQ.1.1.25 BF.7.23 BQ.1.1.37 XAZ BF.7.19.1 BA.5.1.3 BQ.1.1.30 BE.8 BF.4 EW.3 BA.5.1.1 BF.19 BA.5.1.9 BF.7.24 BF.14 DH.1 BQ.1.1.24 BF.7.17 BA.5.3.4 FA.2 BQ.1.8.2 BF.42 BQ.1.1.56 BF.7.16.1 BQ.1.1.20 BQ.1.16 BQ.1.1.70 BA.5.1.16 XBZ BQ.1.1.18 BF.7.5 DL.1 BF.37 BF.7.4
abundances	0.31199900 0.18768621 0.17338343 0.16819242 0.08370112 0.04436342 0.01480316 0.00037168 0.00033890 0.00031626 0.00029304 0.00028452 0.00027115 0.00026547 0.00025609 0.00025296 0.00022384 0.00021893 0.00021186 0.00021151 0.00020716 0.00020305 0.00019969 0.00019290 0.00017854 0.00017544 0.00016989 0.00016515 0.00015324 0.00015028 0.00014650 0.00014626 0.00014426 0.00014001 0.00013303 0.00013273 0.00013184 0.00012643 0.00012605 0.00012337 0.00011869 0.00011820 0.00011813 0.00011788 0.00011751 0.00011716 0.00011596 0.00011589 0.00011553 0.00011433 0.00011118 0.00010680 0.00010664 0.00010662 0.00010641 0.00010543 0.00010410 0.00010202 0.00010098
resid	9.61984572836418
coverage	93.25485737217002
