	SRR23043845.variants.tsv
summarized	[('Omicron', 0.9999999965703574)]
lineages	BG.3 BA.2.65 BA.2.19 BA.2.16 BA.2.38 BA.2.56 BA.2.3 BA.2.24 BA.2.23 BA.2.72 BA.2.50 BA.2.68 BA.2.12 BA.2 BA.2.18 XAJ BA.2.25 BA.2.69 BA.2.9 BA.2.43 BA.2.45 BA.2.9.2 BA.2.35 BA.2.12.1 BA.4.1.8
abundances	0.30303000 0.05369130 0.04761900 0.02795067 0.02795067 0.02795067 0.02795067 0.02795067 0.02795067 0.02795067 0.02795067 0.02795067 0.02795067 0.02795067 0.02795067 0.02795067 0.02795067 0.02795067 0.02795067 0.02795067 0.02795067 0.02795067 0.02795067 0.02795067 0.00869565
resid	0.5735546254877981
coverage	34.3577567468147
