	SRR23293659.variants.tsv
summarized	[('Omicron', 0.9999999999309236)]
lineages	XAD BG.3 BA.4.8 BA.2.19 XAS BA.2.81 BA.5.3.3 BA.5.3 BA.2.18 BA.2.56 BA.2.3 BA.2.24 BA.2.23 BA.2.33 BA.2.7 BA.2.25 BA.2.51 BA.2.9 BA.2.45 BA.2.9.2 BA.2 BA.2.65
abundances	0.48643890 0.16326500 0.12069000 0.03614460 0.03561990 0.02857140 0.02601155 0.02601155 0.00586782 0.00586782 0.00586782 0.00586782 0.00586782 0.00586782 0.00586782 0.00586782 0.00586782 0.00586782 0.00586782 0.00586782 0.00586782 0.00096550
resid	1.39770207559802
coverage	37.01969702036585
