	SRR25300000.variants.tsv
summarized	[('Omicron', 0.9985569829522954)]
lineages	BF.19 BQ.1.1.25 BA.2.39 BQ.1.25.1 BZ.1 BQ.1.20 BQ.1.10.1 BF.39 BF.39.1 BA.4.5 EE.4 BQ.1.4 BQ.1.1.58 BF.22 BV.1 BA.2.3.21 CK.1.1 BQ.1.11.1 BF.41.1 DT.2 BQ.1.1.55 BA.2.3.7 XAL CR.1.1 DY.1 BA.4.3 BA.4.4 FN.1
abundances	0.49483595 0.20076745 0.19972398 0.09869315 0.00040401 0.00031163 0.00023906 0.00023568 0.00023568 0.00023568 0.00021820 0.00019708 0.00019612 0.00018820 0.00018127 0.00017170 0.00015218 0.00015181 0.00015092 0.00014960 0.00014838 0.00014737 0.00014622 0.00014518 0.00014247 0.00013304 0.00013304 0.00012192
resid	2.3299017612937494
coverage	9.831789452563289
