	SRR22321988.variants.tsv
summarized	[('Other', 0.5902317065739064), ('A', 0.40976829358257383)]
lineages	B.1.250 AA.8 B.1.254 B.1.377 B.1.177.61 B.1.218 B.1.517 B.1.436 B.1.517.1 B.1.521 B.1.385 B.1.475 B.3.1 A.9 A.21 A.7 A.11 A.22 A.18 A.12 A.15 A.19 A.25 A.26 A.24 A.4 A.28 A.23.1 A.27 A.29 B.1.160.19
abundances	0.21248019 0.03980214 0.03120839 0.03120839 0.03120839 0.03055820 0.02757480 0.02757480 0.02757480 0.02717740 0.02713311 0.02713311 0.02713311 0.02410402 0.02410402 0.02410402 0.02410402 0.02410402 0.02410402 0.02410402 0.02410402 0.02410402 0.02410402 0.02410402 0.02410402 0.02410402 0.02410402 0.02410402 0.02410402 0.02410402 0.02246488
resid	32.99999999893786
coverage	0.0
