	SRR23366405.variants.tsv
summarized	[('Omicron', 0.9999983538527379)]
lineages	XZ XAD BA.5.3 BA.5.3.4 BA.5.3.2 BA.5.3.3 BA.5.6 BA.5.1.10 BZ.1 BA.5.2 BA.5.2.38 BA.5.2.18 BA.5.2.53 BA.5.2.20 BA.5.2.8 BA.5.2.56 BA.5.2.36 BA.5.2.31 BA.5.2.19 BA.5.2.28 BA.5.2.21 BA.5.2.62 BA.5.2.16
abundances	0.14900650 0.14900650 0.12559222 0.12559222 0.12559222 0.12559222 0.12559222 0.02857137 0.00854701 0.00771869 0.00224517 0.00224517 0.00224517 0.00224517 0.00224517 0.00224517 0.00224517 0.00224517 0.00224517 0.00224517 0.00224517 0.00224517 0.00224517
resid	1.0048207988900515
coverage	32.16399692338561
