	SRR24056926.variants.tsv
summarized	[('Omicron', 0.9977828579357259)]
lineages	BA.5.2.1 BA.5.2.26 BN.1.4.5 CW.1 BQ.1.1.46 BA.5.1.20 BN.1 BN.1.5 XBE BA.2.75.5 BQ.1.1.74 CR.1 BF.7.12 BQ.1.1.57 BQ.1.1.21 BM.2.1 BA.5.2.9 BQ.1.1.3 BF.7.7 BQ.1.1.15 BM.1.1.3 BF.11.1 BQ.1.1.13 BA.5.1.37 BA.5.1.5 BF.12 BQ.1.1.73 BA.5.2.2 BL.2.1 BA.5.1.16 BA.5.2.10 CK.1.1.1 BA.5.2.39 BQ.1.16 BQ.1.1.25 BF.7.21 XAJ BA.5.2.32 BE.1.4.3 BQ.1.1.20 BF.22 CP.3 CA.3
abundances	0.31043981 0.19579552 0.17021301 0.10819887 0.07372222 0.05931377 0.02308453 0.02308453 0.01471485 0.00941651 0.00226447 0.00091240 0.00085215 0.00059734 0.00042753 0.00038090 0.00030637 0.00029851 0.00025126 0.00024679 0.00024123 0.00021808 0.00019153 0.00017343 0.00015787 0.00015018 0.00014916 0.00014896 0.00014808 0.00013769 0.00013655 0.00013404 0.00013009 0.00012829 0.00012660 0.00011836 0.00011683 0.00011620 0.00011430 0.00010981 0.00010949 0.00010397 0.00010078
resid	13.403220588627725
coverage	93.19800688894091
