	SRR23906385.variants.tsv
summarized	[('Omicron', 0.9999999831036778)]
lineages	BA.5.3.1 BE.1.1.1 BA.5.3 BA.5.3.4 BA.5.3.3 XZ XAD BA.5.2 BF.11.4 BF.11 CP.8 BQ.1.21 BQ.1.20 BQ.1.31 BQ.1.2 BQ.1.19 BQ.1.13 BQ.1.2.3 BQ.1.9 BQ.1.24 BQ.1
abundances	0.23157900 0.18333370 0.10500610 0.10500610 0.10500610 0.05678250 0.05678250 0.03363811 0.01408450 0.01408450 0.01136360 0.00833333 0.00833333 0.00833333 0.00833333 0.00833333 0.00833333 0.00833333 0.00833333 0.00833333 0.00833333
resid	0.7310597012524322
coverage	25.067718957964082
